bucket_start,bucket_end,count
-0.100000,0.000000,76
0.000000,0.100000,495
0.100000,0.200000,366
0.200000,0.300000,124
0.300000,0.400000,194
0.400000,0.500000,327
0.500000,0.600000,412
0.600000,0.700000,501
0.700000,0.800000,646
0.800000,0.900000,920
0.900000,1.000000,1103
1.000000,1.100000,1277
1.100000,1.200000,1212
1.200000,1.300000,968
1.300000,1.400000,755
1.400000,1.500000,488
1.500000,1.600000,331
1.600000,1.700000,252
1.700000,1.800000,203
1.800000,1.900000,122
1.900000,2.000000,64
2.000000,2.100000,41
2.100000,2.200000,13
2.200000,2.300000,3
2.300000,2.400000,0
