model,model_name,epoch,training_epochs_planned,validation_exact_count,validation_n,validation_exact_percent,average_string_similarity_percent,selected_epoch,source_log
09_tree_vae_epoch80,TreeVAE-80,1,1000,0,2178,0,39.109999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,10,1000,11,2178,0.51000000000000001,56.590000000000003,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,20,1000,48,2178,2.2000000000000002,61.659999999999997,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,30,1000,91,2178,4.1799999999999997,64.969999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,40,1000,133,2178,6.1100000000000003,67.019999999999996,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,50,1000,178,2178,8.1699999999999999,68.849999999999994,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,60,1000,199,2178,9.1400000000000006,69.260000000000005,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,70,1000,219,2178,10.06,69.180000000000007,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,80,1000,225,2178,10.33,69.560000000000002,yes,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,90,1000,199,2178,9.1400000000000006,69.120000000000005,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,100,1000,207,2178,9.5,67.900000000000006,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,110,1000,212,2178,9.7300000000000004,68.629999999999995,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,120,1000,208,2178,9.5500000000000007,68.75,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,130,1000,186,2178,8.5399999999999991,67.829999999999998,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,140,1000,183,2178,8.4000000000000004,67.959999999999994,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,150,1000,179,2178,8.2200000000000006,67.209999999999994,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,160,1000,181,2178,8.3100000000000005,67.310000000000002,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,170,1000,181,2178,8.3100000000000005,67.140000000000001,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,180,1000,177,2178,8.1300000000000008,67.400000000000006,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,190,1000,165,2178,7.5800000000000001,66.840000000000003,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,200,1000,161,2178,7.3899999999999997,66.159999999999997,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,210,1000,151,2178,6.9299999999999997,66.659999999999997,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,220,1000,148,2178,6.7999999999999998,66.489999999999995,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,230,1000,146,2178,6.7000000000000002,65.609999999999999,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,240,1000,125,2178,5.7400000000000002,65.739999999999995,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,250,1000,133,2178,6.1100000000000003,66.010000000000005,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,260,1000,125,2178,5.7400000000000002,65.579999999999998,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,270,1000,132,2178,6.0599999999999996,66.170000000000002,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
09_tree_vae_epoch80,TreeVAE-80,280,1000,122,2178,5.5999999999999996,65.75,no,exports/f1_selected_10_ckpts_20260520_184738/09_tree_vae_epoch80/training.log
