metric_policy,retained_improvement_definition,model,model_name,method,method_name,bucket,bucket_min,bucket_max_finite,dataset_exact_max_metadata,n,mean_retained_score,sample_sd_retained_score,max_retained_score,mean_retained_improvement,sample_sd_retained_improvement,source_retained_count,embedded_stored_source_count,posthoc_source_fallback_count,no_improvement_tie_count,simulation_chain,source_artifacts
retained_source_max,"max(best_score,seed_source_fitness)-seed_source_fitness",09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,B1,0.29999999999999999,0.5,2.2952309520191614,25,1.8363051719999999,0.22770405950063141,2.1170727999999999,1.4256214128,0.23766385671261808,0,0,0,0,eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
retained_source_max,"max(best_score,seed_source_fitness)-seed_source_fitness",09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,B2,0.5,0.75,2.2952309520191614,25,1.7430445000000001,0.25002621611235926,2.3307837,1.1028278231999999,0.26309754457880369,0,0,0,0,eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
retained_source_max,"max(best_score,seed_source_fitness)-seed_source_fitness",09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,B3,0.75,1,2.2952309520191614,25,1.732639912,0.22861335207198519,2.0286184,0.83521979000000002,0.24555737455483842,0,0,0,0,eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
retained_source_max,"max(best_score,seed_source_fitness)-seed_source_fitness",09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,B4,1,1.2,2.2952309520191614,25,1.6709885200000001,0.22086803872869618,2.0288051999999999,0.56169051600000008,0.23228296457172065,0,0,0,0,eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
retained_source_max,"max(best_score,seed_source_fitness)-seed_source_fitness",09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,B5,1.2,1.5,2.2952309520191614,25,1.7359130359999999,0.19300953763336817,2.0621870000000002,0.42243213199999996,0.20371683113651434,1,1,0,1,eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
retained_source_max,"max(best_score,seed_source_fitness)-seed_source_fitness",09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,B6,1.5,2.2952309520191614,2.2952309520191614,25,1.9154568080000001,0.17265784524614936,2.2071985000000001,0.22740011600000001,0.17036724446809182,3,3,0,3,eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
retained_source_max,"max(best_score,seed_source_fitness)-seed_source_fitness",09_tree_vae_epoch80,TreeVAE-80,cem,CEM,B1,0.29999999999999999,0.5,2.2952309520191614,25,0.72292658040000002,0.1432355578047271,1.0609491,0.31224282120000002,0.12934324751769016,0,0,0,0,eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
retained_source_max,"max(best_score,seed_source_fitness)-seed_source_fitness",09_tree_vae_epoch80,TreeVAE-80,cem,CEM,B2,0.5,0.75,2.2952309520191614,25,0.89695501639999997,0.20102148734949166,1.3429879,0.25673833959999998,0.16807754602064562,0,0,0,0,eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
retained_source_max,"max(best_score,seed_source_fitness)-seed_source_fitness",09_tree_vae_epoch80,TreeVAE-80,cem,CEM,B3,0.75,1,2.2952309520191614,25,1.1173228312000001,0.10866897426016912,1.3030676000000001,0.21990270919999999,0.099182957543822017,0,0,0,0,eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
retained_source_max,"max(best_score,seed_source_fitness)-seed_source_fitness",09_tree_vae_epoch80,TreeVAE-80,cem,CEM,B4,1,1.2,2.2952309520191614,25,1.2395394479999999,0.084221013719143145,1.4201588000000001,0.13024144400000001,0.08218194686074147,3,0,3,0,eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
retained_source_max,"max(best_score,seed_source_fitness)-seed_source_fitness",09_tree_vae_epoch80,TreeVAE-80,cem,CEM,B5,1.2,1.5,2.2952309520191614,25,1.3665210880000001,0.095124024788410338,1.5263964000000001,0.053040183999999976,0.071151535551353812,10,0,10,0,eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
retained_source_max,"max(best_score,seed_source_fitness)-seed_source_fitness",09_tree_vae_epoch80,TreeVAE-80,cem,CEM,B6,1.5,2.2952309520191614,2.2952309520191614,25,1.7296988520000001,0.17511453018958081,2.1424387999999999,0.041642160000000011,0.06301694891079572,15,0,15,0,eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
retained_source_max,"max(best_score,seed_source_fitness)-seed_source_fitness",09_tree_vae_epoch80,TreeVAE-80,cmaes,CMA-ES,B1,0.29999999999999999,0.5,2.2952309520191614,25,1.5851177359999999,0.20052183121237463,2.1954807999999999,1.1744339768000001,0.21128673578715165,0,0,0,0,eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
retained_source_max,"max(best_score,seed_source_fitness)-seed_source_fitness",09_tree_vae_epoch80,TreeVAE-80,cmaes,CMA-ES,B2,0.5,0.75,2.2952309520191614,25,1.5863660879999999,0.18261482766729345,2.2369248000000002,0.94614941119999996,0.18364945610962871,0,0,0,0,eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
retained_source_max,"max(best_score,seed_source_fitness)-seed_source_fitness",09_tree_vae_epoch80,TreeVAE-80,cmaes,CMA-ES,B3,0.75,1,2.2952309520191614,25,1.5966890280000001,0.23376775207513925,2.2714561999999998,0.69926890600000002,0.2594406286978071,0,0,0,0,eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
retained_source_max,"max(best_score,seed_source_fitness)-seed_source_fitness",09_tree_vae_epoch80,TreeVAE-80,cmaes,CMA-ES,B4,1,1.2,2.2952309520191614,25,1.544761024,0.19208606807903039,2.1873987000000001,0.43546302000000003,0.21017382209077562,0,0,0,0,eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
retained_source_max,"max(best_score,seed_source_fitness)-seed_source_fitness",09_tree_vae_epoch80,TreeVAE-80,cmaes,CMA-ES,B5,1.2,1.5,2.2952309520191614,25,1.66497246,0.248390031183431,2.3528929000000001,0.35149155599999998,0.26959733813416858,0,0,0,0,eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
retained_source_max,"max(best_score,seed_source_fitness)-seed_source_fitness",09_tree_vae_epoch80,TreeVAE-80,cmaes,CMA-ES,B6,1.5,2.2952309520191614,2.2952309520191614,25,1.8480829519999999,0.2056567046563644,2.2572223,0.16002626000000003,0.16995730978640633,7,0,7,0,eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
retained_source_max,"max(best_score,seed_source_fitness)-seed_source_fitness",10_transformer_vae_epoch90,TransformerVAE-90,latent_ea,Latent EA,B1,0.29999999999999999,0.5,2.2952309520191614,25,1.8048944119999999,0.17367742925615079,2.0678717,1.3942106528,0.18368615635360938,0,0,0,0,eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
