model,model_name,method,method_name,n,mean_retained_score,sample_sd_retained_score,mean_retained_improvement,sample_sd_retained_improvement,retained_policy,simulation_chain,source_artifacts
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,150,1.7723913246666667,0.22798388207963741,0.76253196499999998,0.46725101176153178,"max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,cem,CEM,150,1.1788273026666667,0.3543153982218194,0.16896794300000001,0.14755097478444304,"max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,cmaes,CMA-ES,150,1.6376648813333334,0.23137121023121618,0.6278055216666667,0.41311919102798744,"max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
10_transformer_vae_epoch90,TransformerVAE-90,latent_ea,Latent EA,150,1.7739837753333334,0.19869174882157598,0.76412441566666667,0.44676003300541112,"max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
10_transformer_vae_epoch90,TransformerVAE-90,cem,CEM,150,1.2134683344666666,0.30401682659073054,0.20360897480000001,0.21212961393332536,"max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
10_transformer_vae_epoch90,TransformerVAE-90,cmaes,CMA-ES,150,1.5058902117333333,0.22564730088795804,0.49603085206666664,0.41000921478426078,"max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
02_lhs_latent256_seed42_best,LHS-256,latent_ea,Latent EA,150,1.4774097740000001,0.20283851640910999,0.46755041433333333,0.38508612313631152,"max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
02_lhs_latent256_seed42_best,LHS-256,cem,CEM,150,1.4412327220000001,0.14991120887692508,0.43137336233333334,0.35189129359195864,"max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
02_lhs_latent256_seed42_best,LHS-256,cmaes,CMA-ES,150,1.4159005086666667,0.15593211559138298,0.40604114899999999,0.35030825066581278,"max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
06_lhs_depth_seed42_best,LHS-depth,latent_ea,Latent EA,150,1.439491316,0.21023719677566211,0.42963195633333334,0.39187549355166057,"max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
06_lhs_depth_seed42_best,LHS-depth,cem,CEM,150,1.4300799673333333,0.16626752090017663,0.42022060766666669,0.36869185377380864,"max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
06_lhs_depth_seed42_best,LHS-depth,cmaes,CMA-ES,150,1.4475850586666668,0.14148413128095058,0.43772569900000002,0.36031206568052204,"max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
fitness_aware_lhs_seed42,Fitness-aware LHS,latent_ea,Latent EA,150,1.6121235653333332,0.24191447745790512,0.60226420566666672,0.41043615260215904,"max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
fitness_aware_lhs_seed42,Fitness-aware LHS,cem,CEM,150,1.4808513313333334,0.18985034403232165,0.47099197166666668,0.37560654361783924,"max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
fitness_aware_lhs_seed42,Fitness-aware LHS,cmaes,CMA-ES,150,1.618713362,0.29624996858202801,0.60885400233333331,0.43368241242844779,"max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
