model,model_name,method,method_name,requested_candidate_slots,n,q1_retained_score,median_retained_score,q3_retained_score,metric,simulation_chain,source_artifacts
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,100,150,0.78743290999999993,1.0848764499999999,1.3184295499999998,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,200,150,0.85795676249999997,1.0905347000000001,1.3368384,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,300,150,0.91636729750000001,1.0983350000000001,1.3369713750000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,400,150,0.93344486500000001,1.10753295,1.3777314000000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,500,150,0.95468806500000003,1.1259542499999999,1.3777314000000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,600,150,0.96955378749999999,1.15071945,1.3846578250000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,700,150,0.98893542999999995,1.1525237000000002,1.3846578250000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,800,150,1.0087597000000001,1.1591426999999999,1.3957783749999999,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,900,150,1.038759175,1.19800405,1.416190775,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,1000,150,1.0502397000000001,1.2001620500000001,1.416190775,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,1100,150,1.0568257249999999,1.2076972500000001,1.416190775,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,1200,150,1.0642536250000001,1.2181505500000001,1.42528605,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,1300,150,1.0805077000000001,1.2254798499999999,1.42528605,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,1400,150,1.0902280500000001,1.23069775,1.4331492000000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,1500,150,1.1076593749999999,1.2378981499999999,1.4331492000000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,1600,150,1.1094004500000001,1.2459625000000001,1.434987,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,1700,150,1.1190666,1.2513060499999999,1.434987,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,1800,150,1.12522575,1.2542702999999999,1.434987,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,1900,150,1.14294165,1.2615986499999998,1.4355243500000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,2000,150,1.1494685499999999,1.2672224999999999,1.4429080750000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,2100,150,1.1665649,1.2726635499999999,1.4478061499999999,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,2200,150,1.1676636,1.2870091000000001,1.4550118750000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,2300,150,1.181226925,1.2937431500000001,1.4748211499999999,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,2400,150,1.189856625,1.3069277499999998,1.4748211499999999,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,2500,150,1.2010564750000001,1.31246105,1.4823515,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,2600,150,1.2018377250000001,1.3176573499999999,1.5006285749999999,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,2700,150,1.2073447000000002,1.3206010500000001,1.5089812,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,2800,150,1.212635425,1.3206010500000001,1.5089812,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,2900,150,1.21405615,1.3206010500000001,1.5089812,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,3000,150,1.2256832,1.3225584000000001,1.5089812,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,3100,150,1.22940315,1.3234215,1.5089812,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,3200,150,1.2393213249999999,1.3431207000000001,1.5209677499999998,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,3300,150,1.2461385250000001,1.34921135,1.5260648000000001,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,3400,150,1.2461385250000001,1.3624377000000001,1.539058925,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,3500,150,1.2492204249999999,1.36624105,1.539058925,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,3600,150,1.2609352249999999,1.36969765,1.539058925,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,3700,150,1.2686817749999999,1.36969765,1.539058925,"retained_best_so_far=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
