model,model_name,method,method_name,n,mean,sample_sd,median,q1,q3,max,metric,simulation_chain,source_artifacts
09_tree_vae_epoch80,TreeVAE-80,latent_ea,Latent EA,150,1.7723913246666667,0.22798388207963741,1.7548864499999999,1.5713756000000001,1.973706025,2.3307837,"retained_score=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,cem,CEM,150,1.1788273026666667,0.3543153982218194,1.2112720000000001,0.91799539749999992,1.3972599750000001,2.1424387999999999,"retained_score=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
09_tree_vae_epoch80,TreeVAE-80,cmaes,CMA-ES,150,1.6376648813333334,0.23137121023121618,1.5796703999999999,1.4897264250000002,1.705953125,2.3528929000000001,"retained_score=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
10_transformer_vae_epoch90,TransformerVAE-90,latent_ea,Latent EA,150,1.7739837753333334,0.19869174882157598,1.8431161,1.6450811750000001,1.9202955000000002,2.1293256,"retained_score=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
10_transformer_vae_epoch90,TransformerVAE-90,cem,CEM,150,1.2134683344666666,0.30401682659073054,1.1853615,0.9903566775,1.358351375,2.1293256,"retained_score=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
10_transformer_vae_epoch90,TransformerVAE-90,cmaes,CMA-ES,150,1.5058902117333333,0.22564730088795804,1.4447324500000001,1.3295404,1.6578966749999999,2.1293256,"retained_score=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
02_lhs_latent256_seed42_best,LHS-256,latent_ea,Latent EA,150,1.4774097740000001,0.20283851640910999,1.4475953000000001,1.3348505500000001,1.5969694249999999,2.1293256,"retained_score=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
02_lhs_latent256_seed42_best,LHS-256,cem,CEM,150,1.4412327220000001,0.14991120887692508,1.41046245,1.3565441499999999,1.4759315749999999,2.1293256,"retained_score=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
02_lhs_latent256_seed42_best,LHS-256,cmaes,CMA-ES,150,1.4159005086666667,0.15593211559138298,1.3927974999999999,1.3218545750000001,1.4653326499999999,2.1293256,"retained_score=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
06_lhs_depth_seed42_best,LHS-depth,latent_ea,Latent EA,150,1.439491316,0.21023719677566211,1.4235522,1.2677628249999999,1.5585078999999999,2.1293256,"retained_score=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
06_lhs_depth_seed42_best,LHS-depth,cem,CEM,150,1.4300799673333333,0.16626752090017663,1.4009767,1.313339225,1.4933854,2.1293256,"retained_score=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
06_lhs_depth_seed42_best,LHS-depth,cmaes,CMA-ES,150,1.4475850586666668,0.14148413128095058,1.4141254999999999,1.37281125,1.4949361249999999,2.1293256,"retained_score=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
fitness_aware_lhs_seed42,Fitness-aware LHS,latent_ea,Latent EA,150,1.6121235653333332,0.24191447745790512,1.5580486,1.4258622999999999,1.7978787500000002,2.2007718000000001,"retained_score=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
fitness_aware_lhs_seed42,Fitness-aware LHS,cem,CEM,150,1.4808513313333334,0.18985034403232165,1.4464538500000002,1.3593948999999999,1.546783225,2.1526008000000001,"retained_score=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
fitness_aware_lhs_seed42,Fitness-aware LHS,cmaes,CMA-ES,150,1.618713362,0.29624996858202801,1.484586,1.4209307499999999,1.6586037999999999,2.2636341,"retained_score=max(best_score,seed_source_fitness)",eval-allcriteria.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json
