lso_series,lso_series_name,bucket_id,seed_rank,seed_dataset_idx,mini_retained_score,lso_retained_score,lso_minus_mini,group_n,mean_lso_minus_mini,sample_sd_lso_minus_mini,join_key,selection_policy,lso_simulation_chain,mini_simulation_chain,lso_source_artifacts,mini_source_artifacts,comparison_scope
tree_lso,TreeVAE-80 + latent EA,B1,1,2739,1.8346093000000001,1.8384319,0.0038225999999998983,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B1,2,2250,2.0480260000000001,1.9410581,-0.10696790000000012,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B1,3,2308,1.9376838999999999,1.9411045,0.0034206000000001069,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B1,4,2448,1.505387,1.4382105999999999,-0.067176400000000136,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B1,5,2457,1.9900637000000001,1.6119796,-0.37808410000000015,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B1,6,1943,1.4233425,2.1170727999999999,0.69373029999999991,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B1,7,2833,2.0512440999999999,1.9406528999999999,-0.1105912,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B1,8,2779,1.6046134999999999,2.1123379,0.50772440000000008,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B1,9,2557,1.6118614,2.0712411999999998,0.45937979999999978,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B1,10,2214,2.1119891000000002,2.0133052999999999,-0.098683800000000321,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B1,11,2327,1.9353326,2.0445194,0.10918680000000003,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B1,12,2851,1.9384534,2.0303906999999999,0.091937299999999889,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B1,13,2538,1.1599143000000001,1.7624903999999999,0.60257609999999984,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B1,14,3617,1.9428277,1.9931421,0.050314399999999981,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B1,15,10113,1.8945261,1.9736047000000001,0.07907860000000011,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B1,16,2095,2.0328921000000002,1.4419164,-0.59097570000000021,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B1,17,2156,2.2436875999999999,2.0144589000000002,-0.22922869999999973,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B1,18,2147,1.8794630999999999,1.9410756,0.06161250000000007,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
tree_lso,TreeVAE-80 + latent EA,B1,19,2021,1.5429739,1.7218553000000001,0.17888140000000008,150,0.07931660439999999,0.31494856410850242,"bucket_id,seed_rank,seed_dataset_idx",fixed configuration; no per-seed selection,eval-allcriteria.sim,eval-allcriteria-mini.sim;deterministic.sim;sample-period-2.sim;only-body.sim,jobs/gpu/*.csv; jobs/gpu/*.history.csv; jobs/gpu/*.details.json,final_benchmark.csv; final_benchmark.history.csv; jobs/cpu/*.details.json,cross-configuration descriptive contrast; not a controlled method effect
